a'dād	numbers; pl of adad
qorreš kardan	boom; roar; thunder
qorridan	rave; boom; fulminate; peal; roar; rumble
qorridan (qor(r))	roar
qors	tablet; pill
qors-e makidani	lozenge
qors-e mosakken	painkiller; pain pill
qors-e sardard	headache tablet
qors-e xāb	sleeping pill
qors-e zeddehāmelegi	pill
qorub	sunset
qorub kardan	set; go down; perish
qorun	pl of qarn
Qorun-e Vostā	medieval; mediaeval; Middle Ages
qorunvostāyi	medieval; mediaeval
qorur	pride; arrogance; vanity; conceit; hubris; assumption
qoruz	pl of qarz
qor'e kešidan	ballot; draw
qor'ekeši	lottery; draw; drawing; sortition
qorāze	scrap
qoršodegi	bump
qosl	wash; dip; ablution; immersion; soaking; baptism
qosl-e meyyet	baptism
qosl-e ta'mid	baptism
qosse	worry; concern
qosse xordan	grieve
qosur	failure; negligence; default; shortcoming; laches; delinquency
qosur varzidan	fail; stall
qotb	pole
Qotb-e Jonub	Antarctica; South Pole
qotb-e manfi	negative pole
qotb-e mosbat	positive pole
Qotb-e šomāl	Arctic; North Pole
qotbnamā	compass
qotr	diameter
qovvat	strength; intensity; food; emphasis; bread; nutrition; punch; stress
qovve (qovā)	battery; strength
qovve-ye ejrāyiye	executive
qovve-ye jāzebe	gravity
qovve-ye mojriye	executive
qovve-ye moqannane	legislature
qovve-ye qazāyi	judiciary
qovve-ye qazāyiye	judiciary
qovve-ye xallāqe	creativity
qovve-ye zehni	faculty; mentality
qovā	force; pl of qovve
qowl	promise
qowl dādan	promise; engage; undertake
qowl dādan (deh)	promise
qowl-e sarexarman	an empty promise
qowl-e šaraf	parole
qowlnāme	preliminary contract
qowloqarār	agreement
qowm	people; nation; race
qowm (aqvām)	people; tribe
qowmi	ethnic
qowmoxiš	relatives; kinship
qowmoxiš-e sababi	affinity
qowmoxišbāzi	nepotism
qowqā	melee; turmoil; uproar; pandemonium; clamor; riot
qowr	contemplation; deliberation; depth; diving; bottom; dive
qows	arc; arch; bow; chord; archer
qowsoqazah	rainbow
qozruf	cartilage
qozrufi	cartilaginous
qozāt	pl of qāzi
qu	swan
qul	giant
qul-e barfi	yeti
qulpeykar	gigantic; huge
qulāsā	gigantic; huge
qurbāqe	frog
qure	unripe sour grape
quri	teapot
quri-ye cini	porcelain can
quri-ye cāy	teapot
quri-ye qahve	coffee pot
qurqur	croak
qurqur kardan	croak
qurt	swallow
qurt dādan	gobble; poop; gulp; ingest; engulf; feed; swallow
qute	plunge; dive; duck
qute dādan	dunk; immerse; soak; cause to dive; cause to duck
qute zadan	dive; duck; plunge
qutevar sāxtan	soak; plunge; submerge; cause to dive; duck; submerse
qutevar šodan	plunge; dive; duck
quti	package; box; canister; can
quti-ye konserv	tin can
qutibāzkon	opener; can opener
qutikebrit	matchbox
quz	hump
quz kardan	hump; hunch; squat; crouch
quzak	ankle
quzak-e pā	ankle
quzi	humpy
qāb	frame; case; plate; pan; patina; patine
qāb gereftan	frame
qāb kardan	frame
qāb-e eynak	eyeglass frame
qābdastmāl	kitchen towel
qābeaks	photo frame
qābel	capable;  able;  good;  qualified;  apt;  thorough-paced; suitable; worthy
qābel-e reqābat	competitive
qābele	midwife
qābelebārgiri	downloadable
qābeledark	comprehensible; perceptible
qābeledastresi	accessible
qābeledavām	viable
qābeledidan	visible
qābelee'temād	reliable
qābeleejrā	executable; practicable
qābeleentexāb	eligible
qābeleestefāde	usable;  available;  useful;  operational;  utilizable;  handy; useful
qābeleetminān	reliable; trustworthy
qābelefahm	understandable
qābelehaml	portable
qābelelams	palpable; tangible
qābelemasraf	utilizable
qābelemolāheze	significant; considerable
qābelemoqāyese	comparable; analogous
qābelenušidan	drinkable
qābelepardāxt	payable; due; exigible; liable; solvable; solvent
qābeleparvāz	flyable; flying
qābelepišbini	predictable
qābelepišguyi	predictable
qābeleqabul	acceptable
qābelero'yat	visible
qābelesokunat	habitable
qābeletahammol	tolerable; sustainable; supportable; bearable
qābeletavajjoh	significant; considerable; remarkable; substantial; notable; striking
qābeleta'mim	extensible; extended; general; extensile
qābelexordan	edible
qābelešaxsisāzi	customizable
qābelešostošu	washable
qābeliyat	feature; qualification
qābeliyat-e etminān	reliability
qābeliyat-e e'temād	reliability; dependability; trustiness
qāblame	pot
qāc	slice; plug
qāc kardan	slice; plug
qāc-e limu	lemon slice
qācāq	swindler; contraband; illicit
qācāq kardan	smuggle
qācāqci	smuggler
qācāqci-ye mavādd-e moxadder	drug smuggler; drug dealer
qācāqi	under-the-counter; wildcat
qācāqi rad kardan	smuggled
qācāqi savār šodan	dodge paying the fare
qācāqi vāred kardan	smuggle in
qācāqi xārej kardan	smuggle out
qāder	able; capable
qāder budan	being able
qāder sāxtan	enable
qāedatan	usually
qāede	rule; formula; principle; norm; law; frame; regulation
qāede (qavāed)	rule
qāede-ye kolli	principle
qāede-ye ensāf	equity
qāedegi	menstruation; period
qāem kardan	stake
qāemmaqām	deputy
qāfelgir kardan	surprise
qāfelgiri	surprise
qāfelgirkonande	surprising
qāhqāh	laughter
qāhqāh xandidan	laugh out loud
qāleb	format; template; mold; cast; model; case; pat
qāleb kardan	block; cake; form; shove over; take a cast; found; cheat; swindle
qāleb āmadan	overcome; conquer; have the upper hand; prevail; triumph; vanquish; dominate; surmount
qāleb šodan	regain
qāleb-e	most of
qāleb-e keyk	cake mold
qāleb-e panir	cheese mold
qāleb-e sābun	soap
qāleban	often; frequently; mostly
qālebzani	snap
qāli	carpet
qāli bāftan	carpet weaving
qāli-ye dastbāf	handmade rug; hand-knotted carpet
qāli-ye divāri	tapestry
qāli-ye irāni	Persian carpet; Persian rug
qālibāf	carpet weaver
qālibāfi	carpet weaving
qālice	rug
qāliforuš	carpet dealer
qālpāq	hubcap
qāmez	knotty; problematic; difficult; abstruse; involute; obscure
qāne'	sufficient
qāne' kardan	convince
qāne'konande	convincing
qāne' kardan	convince; satisfy; comply; content
qānun	law; legislation; rule; code; statute; regulation
qānun (qavānin)	law
qānun vaz' kardan	codify; legislate
qānun-e asāsi	constitution
qānun-e jazā	criminal law
qānunan	legally
qānungozār	lawmaker; lawgiver; legislator; legislature
qānungozāri	legislation
qānungozāri kardan	legislate
qānuni	legal
qānuni kardan	legalize; legislate; validate; execute; legitimatize; legtimize
qāp zadan	snap; nab
qāpidan	grab; nab; snatch; grasp; pinch; seize; catch; snap
qāpidan (qāp)	snap; nab
qāpzani	snatch
qār	cave
qārat	robbery; loot; plunder
qārat kardan	plunder; loot; ransack; pillage; rob
qārc	mushroom; fungi; fungus
qārc-e donbalān	truffle
qārc-e xorāki	mushroom
qārnešin	caveman
qāroqur	noise; grumbling
qāroqur kardan	grumble; growl
qārqār	caw; croaking
qārqār kardan	caw; croak
qārre	continent
qārrei	continental
qāsedak	dandelion
qāte'	decisive
qāteiyat	decisiveness
qātel	killer; murderer
qāter	mule
qāteāne	determined; decisively
qāti kardan	mix
qāti-pāti	totally confused
qāyeb (qāyebin)	absent
qāyeb šodan	abscond; disappear; get absent; stay away
qāyebin	pl of qāyeb
qāyem	hidden
qāyem kardan	hide
qāyem šodan	hide
qāyemmušak	hide and seek
qāyemmušak bāzi kardan	play hide and seek
qāyeq	boat
qāyeq-e bādbāni	sailboat
qāyeq-e motori	motorboat
qāyeq-e māhigiri	fishing boat
qāyeq-e nejāt	rescue boat
qāyeq-e pāruyi	rowboat
qāyeq-e tafrihi	yacht
qāyeqrān	boater
qāyeqrāni	sailing; rowing
qāyeqsavāri	boat ride; boating
qāyi	final; ultimate; conclusive
qāz	goose
qāzi (qozāt)	judge
qāš	sliver; slice; plug; cantle
qāšoq	spoon
qāšoq-cangāl	cutlery
qāšoq-e cāyxori	teaspoon
qāšoq-e qazāxori	tablespoon
qāšoq-o cangāl	spoon and fork
ra'd	thunder; lightning
ra'dobarq	thunder and lightning; thunderstorm
ra's	head; top; vertex
ra's (rous)	vertex; head; top; peak; pinnacle
ra'y	vote; verdict; judgment; sentence; poll
ra'y (ārā)	vote
ra'y dādan	vote
ra'y gereftan	vote
ra'y-e e'temād	confidence vote
ra'yat	vassal; peasant; bondman; subject; underling
ra'yati	vassalage; rural; servitude; villeinage
ra'ydahande	voter
ra'ydehande	voter
ra'ygiri	voting
ra'ygiri kardan	vote
ra'ygiri	voting; polling
ra'še	tremble; tremor; paralysis; tremour; trepidation
rabbonno'	godhead
rabt	relevance; relevancy; connection; concern; conjunction; correlation; junction; tie
rabun	advance
rad kardan	reject; throw down; refuse; deny; decline; refute; ignore; pass
rad šodan	pass; fail; percolate; blow over
rad šodan (šav, šow)	pass; fail
rad(d)	rejection; trace
radd	rejection; pass; refusal; denial; trace; rebuff
raddepā	footprint; runway; trace; track; footstep; scent; run; wake
raddepāgir	trailer
raddesalāhiyat	disqualification
raddobadal	livery; exchange
raddobadal kardan	exchange
rade	category; class; line; tier; series; row
radebandi	classification
radebālā	high level
radebandi kardan	classify; subsume; categorize
radif	row; line; tier; string; rank; series; run
radif kardan	align; row; tier
radifi	serial
radyāb	detector; tracer
radyābi	tracing; detection
radšode	failed
radgiri	tracking
raf'	elimination; removal; resolving
raf' kardan	eliminate; resolve; remove
raf'exastegi	recovery
raf'exastegi kardan	recover
rafi'	sublime; high; lofty
rafiq	pal; comrade; friend; fellow; buddy; man
rafiq (rofaqā)	friend; comrade; lover
rafiqe	concubine; girlfriend; paramour; lover
rafi' kardan	raise
raftan	go; going; out; leave; come; betake
raftan (rav, row)	go
raftan (row, rav)	go; leave
raftan-e xod rā xabar dādan	check out; give notice of departure
raftan-o āvardan	get; pick up
rafte-rafte	gradually; inchmeal
raftobargašt	sweep; round trip
raftoāmad	commute; traffic; footwork; contact
raftoāmad kardan	shuttle
raftoāmad-e mokarrar	resort
raftār	treatment; behavior; conduct; manner; action; exploit; step
raftār kardan	behave; act; treat; demean; handle
raftār-e qāleb-i dāštan	stereotype
raftāri	behavioural; behavioral
raf' kardan	detoxify; remove; resolve; obviate; eliminate; assoil; solve
rag	vein
ragberagšodegi	sprained
ragbār	shower
ragbār-e golule	barrage
rage	grain; rake; vein; thread; streak; strain
rage-ye ma'dan	lode; shoot
ragopey	tendon
rah	direction; route; way
rahbar	leader; head; guide
rahbar-e enqelāb	revolutionary leader
rahbar-e hezb	party chairman
rahbar-e orkestr	conductor
rahbar-e šiayān	Shiite leader
rahbari	leadership; lead; direction; guidance; steer; headship
rahbari kardan	lead; lead off; conduce; head; pilot; administer; spearhead
rahbariyat	leadership
rahem	uterus; womb
rahgozar	passer; passerby
rahm	mercy; compassion
rahm dāštan	have mercy
rahm kardan	show mercy
rahm āvardan	show mercy
rahmat	mercy; grace
rahn	mortgage
rahn dādan	pawn
rahn kardan	bond
rahnamāyi	instructions
rahnemud	guidance; directive
rahnemun	lead; guideline; adviser
rahnemā	guide
rahni	mortgage
rahrow	passer-by; viator; wayfarer
rahsepār	voyageur
rahsepār šodan	go; proceed; travel; leave
rahsepāri	travel
rahyāb	pathfinder
rahā	free
rahā kardan	drop; abandon; unleash; release; liberate; leave; unfold; shoot
rahā sāxtan	indulge; redd
rahā šodan	shoot
rahāndan	extricate
rahānidan	rescue; rid
rahānide	freed
rahāsāzi	release; triggering; emancipation; abandon; abandonment; dereliction; quit
rahāvard	result; gift; present; souvenir
rahāyi	release; liberation; emancipation; salvation; escape; extrication; rescue; freedom
rahāyi baxšidan	save
rahāyi dādan	redeem; rescue
rahāyi jostan	escape
rahāyibaxš	liberalizing; liberation
rahāšode	unbound; spent; shot
rahgiri	tracking
rahgozar	passer-by; viator
rais	chief; ruler; commander; arch-; administrator; head; director; chairman; president; boss; superintendent; master
rais (roasā)	boss; chief; director
rais-e bānk	bank director
rais-e dādgāh	chief justice
rais-e dānešgāh	rector
rais-e qabile	chieftain
rais-e qatār	motorman
raisjomhur	president
raisjomhuri	president
raiskol(l)	chief; chairman
raiskoll	ceo
raj	row
raj'at	return; throwback
rajaz	paean; epopee; praise
rajaz xāndan	brag; boast
rajazxāni	ranting; brag; boast; braggery; gasconade; self-praise
rak'at	postures
rakik	vulgar; obscene
ram	stampede
ramaq	spirit; life
rame	flock; drove; herd; tame
ramidan	stampede; wince
ramide	wild
rammāl	soothsayer
ramz	secret; code; cipher; token; mystery; sign
ramz (romuz)	password; code; cipher; secret; token
ramzdār	coded
ramzi	coded; symbolic; secret; encoded; cryptic; occult; encrypted
ramzišode	cryptographic; encoded
ramznevisi	cryptography
ramznegār	cryptographer
ramzxān	decoding
ramzāmiz	mysterious
ramzšenās	cryptology; decoder
ramzgozāri	encryption; coding; encoding
ramzgošā	decoder
ramzgošāyi	decryption; decoding
ramān	novel; romance
rande	grate; shaver; grater; rasp
rande kardan	shave; grate; bevel; chip; oblique; plane
rang	color
rang kardan	paint; color; dye; taint; besmear; stain
rang pas dādan	stain
rang zadan	paint; dab; tincture; color
rang šodan	paint; stain
rang-e bāz	light color
rang-e cešm	eye color
rang-e naqqāši	paint
rang-e narow	colorfast; fast; lightfast; water-fast
rang-e rowqani	oil paint
rang-e sorbi	lead
rangemu	hair color
rangi	colored; chromatic
rangin	colorful
ranginkamān	rainbow
rangkur	color-blind
rangorowqan	oil paint
rangorowqan zadan	finish
rangoru	complexion
rangorurafte	pale; washed out
rangparide	pale
rangārang	colorful
ranj	pain; affliction; toil; agony; tribulation; labor; suffering
ranj bordan	suffer; travail; take care; toil
ranj bordan (bar)	suffer
ranjbar	laboring; painstaking; labouring; toiler
ranje kardan	trouble
ranješ	acrimony; resentment; pique; offense; annoyance; bother
ranjidan	huff; miff; resent
ranjide	angry; indignant; sulky; glum
ranjur	sickly; wretched; ill
ranjāndan	offend; vex; annoy; mortify; irk; irritate
ranjāndan (ranjān)	offend; annoy; irritate; irk; vex; mortify
ranjāvar	painful; troublesome; irritating
rang	color; paint; dye; hue; tint; pigmentation
rangerowqan	oil colored; oils
rangi	colored; chromatic; hued; tinct
rangin	colored; coloured
ranginkamān	rainbow; iris; sunbow
rangkār	painter
rangkāri	painting
rangparide	pale; ghastly; wan; wanly
rangpazir	colorable; colourable
rangraz	dyer; tinter
rangrazi	dyeing; intinction
rangrizi	painting
rangzedāyi	decolorization; decolourization
rangāmizi	coloring; coloration; colouration
rangārang	colorful; motley; multicolored
rangšode	colored
raqam	figure; number; digit; statistic; numeral; item
raqam (arqām)	digit
raqam-e moteādelkonande	offset
raqam-e qarzi	borrow
raqami	digital
raqib	competitor
raqib (roqabā)	rival; opponent; competitor
raqiq	thin; watery; attenuate
raqiq kardan	dilute; thin; attenuate; extenuate; rarefy; rarify
raqiqkonande	thinner; diluent; diluter
raqm	despite
raqqās	dancer; gigolo; terpsichore
raqqāse	ballerina; danseuse; dancer
raqqāsi	dance
raqs	dance; dancing; hopping; ball; frolic; haymaker
raqs-e mahalli	folk dance; local dance
raqs-e varzeši-yo honari	ballet
raqsande	dancer
raqsidan	dance; ball; caper; hoof; hop; tumble; lope
raqsidan (raqs)	dance
raqsān	dancing
rasad	observations
rasadxāne	observatory
rasm	custom; drawing; tradition; way; ceremony; picture; rule
rasm (marāsem)	draw; custom; tradition; ritual; ceremony
rasm kardan	draw; trace; depict; plot
rasman	officially; formally
rasmi	official; formal; solemn
rasmiyat	formality; officialism; solemnization
rasmolxat	orthography
rasmolxat(t)	script; spelling
rastan	redemption; escape
raste	category; class; guild; unit
rastegār	blessed
rastegār kardan	deliver
rastegārkonande	saving
rastāxiz	resurrection
rastgār	prosper
rastgāri	redemption; salvation; deliverance
rasul	messenger; prophet; apostle
rasā	expressive; loud; stentorian
rasāel	epistles
rasāyi	distinctness; reach; range; relief
rauf	clement; gracious
ravand	process; procedure; flow; proceeding; method; trend
raveš	way; method; procedure; manner; how; form; march; system
ravešmand	methodical; systematically; systematic
raveššenāsi	methodology
raveššenāxti	methodological
raviye	procedure; scheme; tack; method
ravā dānestan	allow
ravā dāštan	approve
ravābet	relations; term; relationships
ravābet'omumi	public relations
ravābet-e dustāne	friendly relations
ravābet-e farhangi	cultural relations
ravābet-e omumi	public relations
ravādid	visa
ravādid dādan	grant visa
ravādid-e obur	transit visa
ravādid-e turisti	tourist visa
ravādid-e vorud	visa
ravādid-e xoruj	exit visa
ravādāri	tolerance
ravāj	vogue; prevalence; currency
ravāj dāštan	go
ravān	smooth; fluent; fluid; psyche; spirit; versatile; liquid; clear; handy
ravān sāxtan	pour
ravān šodan	gush; flow; trill
ravāndarmāngar	psychotherapist
ravāndarmāni	psychotherapy
ravāndarmāngar	psychotherapist
ravāne	released
ravāne kardan	launch; send; dismiss; dispatch; hale
ravāne sāxtan	fling; go
ravāne šodan	depart
ravāni	mental; psychic; supersensible; flow; fluency; versatility; facility; freedom; volubility
ravānkāv	psychoanalyst; analyst
ravānkāvi	psychoanalysis; depth psychology; analytic; analytical
ravānpariši	psychosis
ravānpezešk	psychiatrist
ravānpezeški	psychiatry
ravāntani	psychosomatics; psychosomatic
ravānšenās	psychologist
ravānšenāsi	psychology
ravānšenāxti	psychological
ravāq	porch; portico; veranda
ravāyatgar	narrator
raxt	clothes; garment; apparel; dress
raxt bar bastan	decamp; depart
raxt šostan	wash clothes
raxtexāb	bed
raxtkan	locker room; cloakroom; changing room
raxtāviz	clothes hanger
raxtšu	laundry; washing
raxtšuyi	laundry; washing; wash; washing machine
raxtšuyxāne	laundry
raxšande	lustrous
raxšān	lustrous
razl	scoundrel; villain; rapscallion
razm	combat; battle; war
razmande	fighter
razmandegi	militancy
razmi	epic
razmikār	martial artist
razmju	warrior; warlike
razmārā	tactic; tactician
razmārāyi	strategy; tactics
razmāvari	warrior
razmāyeš	exercises; maneuver
razmgāh	battleground; battlefield
ra€کs-e	top; tip; pinnacle; peak; vertex; head; climax; cap
ra's	count word for animals; top
ra'y dādan	vote; elect; resolve; sentence
ra'y-e hey'atmonsefe	verdict
raāyat	observance; observation; regard; observing
raāyat kardan	consideration; compliance
rašid	adolescent; high
rašk	envy; jealousy
raškbarangiz	enviable
rag	vessel; blood vessel; streak
ragbi	rugby
ragbār	shower; volley; cloudburst
rage	streak; vein; grain
rebā	gavel; usury
rebāxār	usurer; usurious
rebāxāri	usury
reform	reform
reformist	reformists
refrāndom	referendum
refāh	welfare; quiet; prosperity
refāqat	friendship; camaraderie; comradeship
regl	period; menstruation
rehlat	death
rekord	record
rekāb	pedal; stirrup; step
rend	rogue; city slicker; knave
reng	tune
reportāž	reportage
reqbat	relish; zest; propensity; interest
reqqat	dilution; subtility; sympathy
reqābat	competition; rivalry; contest; racing; contestation
reqābat kardan	compete; challenge; vie; contend; corrival; rival; emulate
reqābat-e taslihāti	arms race
reqābati	competitive
reqābatpazir	competitive
reqābatpaziri	competitiveness
reqābatyuyi	competitiveness
resid	receipt
resid dādan	give a receipt for
residan	get; achieve; arrive; attain; come; gain; land; reach; overtake; have; touch
residan (res)	reach; arrive; achieve
reside	has arrived; ripe; received
residegi	examination; inquiry
residegi kardan	consider; attend; check; inspect; investigate; inquire; examine
residegi	investigation; attention; consideration; handle
residegikonande	handler; tendentious; tendencious
resturān	restaurant; cafe; buffet
resturān-e beynerāh	roadhouse
resālat	prophecy; apostolate; mission
resāle	treatise; dissertation; tract; epistle; booklet; leaflet
resānande	supplier
resāndan	deliver; convey; supply; transmit; extend; give; broadcast; imply; understand; bring
resāndan (resān)	supply; transmit; deliver
resāne	media; medium; vehicle
resānehā	media
resānehā-ye goruhi	mass media
revāl	routine; rubric; zeitgeist
revāyat	story; narrative; tale
revāyat (revāyāt)	narrative; story; tale
revāyati	traditionary
revāyāt	narrations
rexne	breach; flaw; gap; crack; hole; split; leak
rexne kardan	penetrate; transpire; thrust; breach
rexnepazir	penetrable
reyhān	basil
reyl	rail; real; railing
reyl-e rāhāhan	railroad track
rezerv	reservation
rezerv kardan	book; reserve
rezerv kardan (kon)	reserve; book
rezervāsiyon	booking
rezāmandi	satisfaction; euphoria
rezāyat	satisfaction; consent; contentment; satisfying
rezāyat dādan	consent; assent; accede; acquiesce; admit
rezāyat-o movāfeqat-e omumi	consensus
rezāyatbaxš	satisfactory
rezāyatbaxši	satisfactory
rezāyatmand	satisfactory
rezāyatmandi	happiness
rezāyatnāme	consent; testimonial
reāktor	reactor
reāktor-e atomi	nuclear reactor
reālism	realism
reālist	realist
reālisti	realist
reže	parade; pageant; array; review
reže raftan	parade
reže-ye nezāmi	military parade
reži	regis
režim	regime; diet
režim gereftan	dieting
režim-e lāqari	dieting
režim-e qazāyi	slimming diet
režim-e sarmāyedāri	capitalism
reštan	spin
rešte	string; field; thread; series; strand; fiber; suite; tissue; tract; branch; rank; train; noodle; subject
rešte-ye pezeški	field of study medicine
rešte-ye tahsili	field of study
rešte-ye extesāsi	specialty; speciality
rešte-ye mosalsal	continuum; suite
reštefarangi	noodle; spaghetti
reštefarangi	noodles; noodle; vermicelli
reštekuh	mountains
rešve	bribery; bribe; payola
rešve dādan	bribe
rešvexār	venal; barrator; corrupt
rešvexāri	bribery; barratry; corruption
rešvegir	bribe-taking; bribable
rešvegiri	bribery; venality
rešādat	courage; gallantry; heart
reglāž	tune up
ridan	shit; relieve
ridan (rin)	shit
rie	lung; bellows
rig	grit; gravel; pebble; sand
rimel	mascara
ring	ring
ring-e boks	boxing ring
risande	spinner
risandegi	spinning
rise	row; chain; fit of laughter
risidan	spin
riside	spun
risk	risk; venture
risk kardan	risk
rismān	thread; string; rope; line; cord; warp; chord
ritm	rhythm
ritmik	rhythmic
rivās	rhubarb
rixt	shape; form; feature
rixtan	pour; shed; infuse; infusion; cast; splash; decant
rixtan (riz)	shed; splash; infuse; pour
rixte	foundry; molten; besprent
rixtegar	casting
rixtopāš	splurge
rixtgari	casting
riye	lung
riyā	hypocrisy; duplicity
riyākār	hypocritical; insincere; pharisee
riyākāri	sham; untruthfulness
riyākārāne	pharisaic
Riyāl	Rial; Iranian currency
riyāsat	presidency; chairmanship; headship; directorate
riyāsatjomhuri	presidential
riyāsatyomhuri	president
riyāzat	austerity; abstinence; mortification; penance
riyāzi	math; mathematical; mathematic
riyāzidān	mathematician
riyāziyāt	mathematics
riz	small; fine; tiny; list
riz bāftan	compact
riz kardan	fragment; fragmentize
riz-riz kardan	chop; comminute; mince; crush
riz-riz šodan	crash
rizbin	microscope
rizbār	drizzly
rize	small; tiny; teeny; detritus; midget; mote; particle; bit; shiver
rizekāri	details; intricacy; elegance; detail work
rizeš	pour; abscission; infusion; inset; downfall; slump; leak; slide; spray; infuse
rizeš-e barf	snowfall
rizeš-e bārān	rainfall
rizeš-e kuh	landslide
rizeš-e mu	hair loss
rizeš-e sang	rock fall
rizgard	dust
riznaqš	thumbnail
riztarāše	microchip
riš	beard; whisker; ulcer; ulcerous
riš gozāštan	leave a beard
riš zadan	shave
riš-e bozi	goatee
riš-e xod rā zadan	shave himself
riše	root; base; stem
riše-ye dandān	root
riše-ye deraxt	tree root
rišedār	rooted; ciliate; stubby
rišei	root; fibroid; filamentary
rišekan	eradication
rišeyābi	rootting
rišsefid	doyen; elder; dean; graybeard
rištarāš	shaver; razor
rištarāš-e barqi	electric razor
rištarāši	shave
rišu	bearded
rišxand	sarcasm; ridicule; scoff
rig	pebble; sand; gravel
ro'b	fear
ro'b-o vahšat	terror; fear
ro'yat	seeing
ro'yā	dream
ro'yāyi	dreamy; visionary; starry-eyed; shandy; shandygaff
roasā	presidents; chiefs; directors
rob	sauce; paste
rob'	quarter; quadrant; fourth
rob'-e sāat	quarter hour
rob(b)	sauce; paste
robb-e anār	pomegranate paste
robb-e gowjefarangi	tomato paste
robudan	hijack; snatch; abduct; rob; steal; grab; get; hook; rape
robudan (robā)	kidnap; rob; steal
robude	kidnapped
robudegi	snatch
rob'	quarter
robāi	quatrain
robāi (robāiyāt)	quatrain
robāiyāt	quatrains
robāt	robot; ligament; sinew; ligature
robātik	robotics
robāyande	snatcher; snapper; raptor; abstractive
robāyeš	abduction; kidnapping; abstraction; grab; snatch; rapine
rofaqā	comrades; pl of rafiq
roftan	sweep
roftegar	sweeper
roftgar	dustman; sweeper; swabber
rofu	darn
rofuze	fail
rofuze šodan	stay down
rojhān dādan	prefer
roju'	reference; referral; respect; reversion
roju' kardan	refer
rok	straight; frank; outspoken; directly; bluntly; unequivocally; frankly
rok harf zadan	speak frankly
rok-o pustkande	frankly
rok-o rāst	frankly
rokgu	frank; plainspoken; ingenuous; open; free-spoken
rokn	pillar; column
roku'	diffraction; genuflection
rokud	depression; stagnation; slump; dormancy; latency; stagnancy
rokguyi	candor; candour
rol	role; wheel
rol bāzi kardan	play; playact
romi	Roman
romuz	pl of ramz
romān	novel
romān-e ešqi	romance
romān-e jenāyi	detective story
romān-e tārixi	historical novel
Romāni	Romania
romāniyāyi	romanian
romānnevis	novelist; romancer
romāntik	romantic
romātism	merry christmas; rheumatism
roqabā	pl of raqib
roqumi	digital; numeral
ros	clay
rostan	grow
rostan (ruy)	prosper; grow
rostani	herb; plant; vegetable; vert; herbage
rostanihā	vegetation
rosti	force; rest
rosub	sediment; fouling; sinter
rosubi	sedimentary; alluvial; residual
rosubāt	sediments
rosum	mores; etiquette; manner; customs, habits
rosux	sink; seepage; seep; ooze; transfusion; transudation
rosux kardan	perforate;  pierce;  soak;  transpierce; pierce; soak; transpierce
rosvā	ignominious; infamous; blatant; ashamed; opprobrious
rosvāyi	scandal; ignominy; disgrace; humiliation; shame
rotab	fresh dates
rotbe	rank; rating; grade; degree; dignity; step; position
rotbebandi	ranking
rotbebandi kardan	rank
roteyl	tarantula
rotubat	humidity; moisture; wet; dampness; damp; spit
rotubat-e havā	humidity
rotubati	moisture
rotubatsanj	humidity meter; psychrometer
rotubatgir	dehumidifiers
rotuš	retouching
rous	vertices; pl of ra's
rous-e matāleb	outline;  syllabus
rowhāni	spiritual; religious; sacred; clergy; clergyman
rowhāni (rowhāniyun)	spiritual; cleric; clergy
rowhāniyat	spirituality; spiritualty
rowhāniyun	clergymen; clergy; pastorate; pl of rowhāni
rownaq	boom; upswing
rownaq yāftan	prosper; thrive
rownaq-e eqtesādi	economic boom; economic recovery
rowqan	oil; grease; lubricant; fat
rowqan avaz kardan	oil change
rowqan zadan	grease; oil
rowqan-e heyvāni	ghee
rowqan-e sālād	salad oil
rowqan-e xorāki	cooking oil
rowqandār	greasy
rowqani	oily; buttery; greasy
rowqanmotor	engine oil; antiknock
rowqannabāti	vegetable oil; margarine
rowqantormoz	brake fluid
rowqanzeytun	olive oil
rowrowak	scooter
rowyābāfi	dream
rowzane	window; aperture; orifice; hole; pore; clearance;  orifice;  window;  hole;  pore;  outlet
rowzane-ye omid	flicker of hope
rowze	sermon
rowzexān	preacher
rowšan	bright; light; on; explicit; vivid; unequivocal; set; clear
rowšan budan	being on
rowšan kardan	clarify; turn on; illuminate; elucidate; light; ignite; lighten; clear; explain
rowšan šodan	kindle; shine; become clear; open
rowšanandiš	enlightened
rowšanbin	enlightened; clairvoyant; pervious
rowšanbini	enlightenment; clairvoyance; lucidity
rowšandel	blind
rowšanfekr	intellectual; highbrow; egghead; illuminate; liberal; broad-minded
rowšanfekrāne	intellectual
rowšani	clarity; clarification; shine; expressiveness; lucidity; perspicuity
rowšanāyi	lighting; ray; phosphorescence
rowšanāyi-ye moxtasar	flash
rowšanāyi-ye ruz	daylight
rowšanāyi-ye zanande	glare
rowšanšode	lightened; illuminated
rowšangar	illustrative; explanatory
rowšangari	enlightenment
rowšangarāne	enlightened
rox	there; face; rook; visage; countenance; cleavage
rox dādan	occur; happen; befall; arise; outcrop; turn up; pass
rox dādan (deh)	happen; occur
roxdād	occurrence
roxdāde	happened
roxsat	leave; permission; approval; fiat; clearance
roxsat dādan	allow
roxsār	face; visage
roxsāre	facies
royā	dream; vision
royāyi budan	envision
roz	rose; day
roāyā	peasantry
rož	rouge
roželab	lipstick
rošanfekri	intellectual; enlightenment
rošd	growth; development; increase; formation; pickup
