a'dād	numbers; pl of adad
amal-e tahavvorāmiz	enterprise
amalan	virtually; actually; bodily; defacto; practically
amale	labor; laborer; worker
amalegi	drudge
amalegi kardan	drudge
amali	practical; feasible; pragmatic; applied; practicable; real; operative; operable; workable
amali kardan	actualize; effect
amaliyyāti	operational
amaliyāt	operations; activities; work; processes; proceedings
amaliyāt-e sāxtemāni	constructional operations
amalkard	operation; turn over; work
amalkard-e māšin yā dastgāh	load
ambāre	storage; battery; storage battery
ambāzi	partnership
amd	purpose; intent; intention; premeditation; animus; aforethought; advertence
amdan	deliberately; intentionally; purposely; on purpose; knowingly; wittingly
amdi	studied; intentional; deliberate
amin	honest; amen!; trustworthy; loyal; verily
amiq	deep; deep rooted; fathomless; profound; recondite; rooted
amiqan	deeply; profoundly; head over heels
amir	amir; emir; kinglet; brass hat
amir (omarā)	emir; kinglet
amlāh	salts
amlāk	estate; pl of melk
amme	aunt
ammā	however; but
ammāme	sash; turban
amn	safe; secure; assured
amn-o amān	snug
amniyat	security; safety
amniyat-e qazāyi	judicial security
amniyati	security
amniye	gendarmerie; militia
amperiyāl	imperial
amperiyālism	imperialism
ampersiyonism	impressionism
ampersiyonist	impressionist
amperyālist	imperialist
amperyālisti	imperial
amr	affair; matter; circumstance; imperious; authoritative; job; behest; ploy; order
amr (avāmer, omur)	order; circumstance; authoritative; affair; precept
amr kardan	command; bid; dictate; enjoin; ordain; direct; bidden
amr-e joz'i	minor issue
amr-e xatir	enterprise
amr-e xeyr	good thing
amr-e ādi	routine
amri	imperative; magistral
amrāz	diseases; pl of maraz
amrāz-e moqārebati	transmitted diseases
amsāl	proverbs; anecdote; pl of masal
amu	uncle
amud	staple
amudi	vertical; perpendicular; upright; plumb; straight; direct; erect; right; lineal
amuzāde	cousin
amvāj	waves; ground swell; pl of mowj
amvāl	estate; real estate; pl of māl
amvāl-e masruqe	stolen Property
amvāl-e qeyremanqul	immoveable property
amvāt	underworld
amyāl	whims
amāken	places; pl of makān
amān	security; mercy; respite
amānat	honesty; trust; integrity; safekeeping; trusteeship; fideism
amānat (amānāt)	fideism; honesty; integrity; safekeeping; trust; trusteeship
amānat dādan	lend
amānat gereftan	borrow
amānatdār	trustee; depositary; depository
amānatdāri	bailment; trusteeship; keep
amānati	fiduciary; bonded; fiducial
amānāt	deposit; pl of amānat
an	moment; instant; minute; split second; it; that; those; shit
an'ām	tip; gratuity; reward;  gratuity;  reward;  prize;  bonus;  premium; prize; bonus; bounty
anbar	gadget; tong
anbe	mango
anbiyā	prophets
anbor	pliers; pincers; barnacle; gadget; tong
anbordast	pliers
anbuh	mass; clump; aggregation; dense; luxuriant; thick; aggregate; bushy; rank; vastly; gross
anbuhi	density; congestion; bushiness; afflux; luxuriance
anbār	store; cellar; storeroom; storehouse; repository; lodge; depot; stock
anbār kardan	store; stash; warehouse; stock; barn; garner
anbār-e gomrok	warehouse; wareroom
anbār-e kālā	warehouse; storage; entrepot; stockroom; storehouse; storeroom
anbārdār	warehouse keeper; storekeeper; stock clerk
anbāre	capacitor; storage
anbāri	warehouse; depot
anbāršode	stored
anbāz	partner; coparcener; participant
anbāšt	accumulation
anbāštan	hoarding; accumulate; stack; fill; stuff; cumulate; bulk; hoard
anbāštani	hoarding
anbāšte	cumulative; full; stored
anbāšte kardan	fill
anbāštegi	agglomeration; accumulation; reposition; cumulation; amplitude; repletion
anbāšti	cumulative
and	are
andak	slight; little; few; low; paucity; modicum; scarce; scant; lean; light; margin
andak'andak	little by little
andak-i	slightly; few; some
andaki	slightly; some; awhile; wee; halfway; dab
andakzamān-i	a little while; short time
andamāq	andmagh; snot
andar	enduro; in; into
andaruni	interior; courtyard
andarz	advice; counsel; monition
andiše	thought; idea; notion; notional; reflection; opinion; plan; worry
andišegi	thought
andišidan	think; contemplate; speculate; excogitate; hatch
andišide	thought
andišmand	thinker; philosopher; thoughtful
andišmandi	thinker
andišmandāne	thoughtful
andišnāk kardan yā budan	worry
andišnāki	rumination; worry
Andonezi	Indonesia
andoneziyāyi	Indonesian
andude	plated
anduh	grief; distress; dolor
anduhbār	sad
anduhgin	stricken; ruthful
anduhnāk	sad; sorrowful; rueful
anduhāvar	depressing; heartbreaking
anduhgin	stricken; lugubrious; ruthful
anduxtan	accumulate; acquire; hive;  acquire;  hive;  lay in;  salt away;  pile; lay in; salt away; reserve; save; store
anduxtan (anduz)	store; save; acquire
anduxte	reserve; store; nest egg; reserved; hoard; reserves; savings
andām	organ; body; shape; member
andāmdār	organic
andāmgān	organism
andāxtan	throw; drop; cast; put; launch; toss; fling; hurl; thrust; delete
andāxtan (andāz)	throw; put; omit
andāze	size; measure; extent; measurement; gauge; bulk; dimension; tract; scale; limit
andāze budan	fit
andāze gereftan	measure; gage; gauge; mete; span; stack up
andāze gereftan (gir)	measure
andāze-ye dowr-e sine	bust size
andāze-ye kafš	shoe size
andāze-ye kamar	waist size
andāzegiri	measurement; mensuration; module
andāze nešān dādan	measure
andāzegir	meter; gage; gauge
andāzegiri	measurement; mensuration; module
ang	hallmark; brand
ang zadan	stigmatize
angal	parasite; sponge; sycophant
angaldār	host
angixtan	stimulate; motivate; incite; animate; fire; motive; urge
angize	motivation; motive
angize-ye nāgahāni	impulse
angize dādan	impulse
angošt	finger
angošt-e ešāre	Index finger; pointing finger
angošt-e halqe	ring finger
angošt-e kucak	pinkie; pinky
angošt-e miyāne	middle finger
angošt-e pā	toe
angoštar	ring
angoštar-e ezdevāj	wedding ring
angoštnegāri	fingerprint
angoštnegāri kardan	fingerprint
angur	grape
angurfarangi	gooseberry
animeyšen	animation
anjir	figs; fig
anjoman	community; association; society; forum; assembly; company; consortium; club
anjomani	associative
anjām	performance; implementation; implement; fulfillment; accomplishment; enforcement; do
anjām dādan	do; perform; carry out; accomplish; fulfill; administer; achieve; make; pay; complete
anjām-e omur-e gomroki	carrying out customs
anjām-e vazife kardan	acquit
anjāmdehande	functor; performing
anjāmidan (anjām)	end
anjāmide	contributed
anjāmpazir	accepted; executable
anjāmvazife	duty
anjāmšodani	accomplishable; effectual
anjāmšode	done; accomplished; out-and-out
anjāmgerefte	done
ankabut	spider
anqarib	soon; shortly; presently
anstito	institute
ansār	helpers
antar	inter; anthropoid
antegrālgiri	integration
anternāsiyonāl	international
anternāsiyonālism	internationalism
anternāsiyonālist	internationalists
anternāsyonālisti	internationalist
anvā'	types; species; pl of now'
anār	pomegranate
anāsor	pl of onsor
anāvin	pl of onvān
angabin	honey
angal	parasite; sponge; leech
angixte	motivated
angizande	stimulating; monitor
angize	motivation; stimulant; motive; incentive; impetus; stimulus
angizeš	motivation; stimulation; urge; incitement; provocation; animation
angošt	finger; digit; dactyl
angoštar	ring; hoop
angoštari	circlet
angoštāne	thimble; plectrum
angur	grapes; grape
aqab	back; rear; behind; rear part; heel
aqab andāxtan	postpone; delay; defer; put off; hinder
aqab gozāštan	leave behind; outdistance; outpace; outrun; outstrip; pass
aqab kešidan	withdraw; draw back; recede; retract; roll back; set back; setback; shrink
aqab māndan	lag; drop behind
aqab nešastan	retreat; recoil; withdraw
aqab nešāndan	repel; drive
aqab oftādan	lag
aqab raftan	retreat
aqab zadan	push back; withdraw; stern
aqab(-e)	behind; back
